song_number,code,lyrics
6,5344,"It’s a long way home, but I’m making my way
With so many things still left to say
I try to think about the one I need the most
When my mind goes black
And then it hits me like a ton of bricks
I want you, no, nothing else
I want to lock you up inside my heart
I always wanted you
But sometimes it’s hard
What do I do to lock you up inside my heart?
I wanted you from the start
I want to lock you up inside my heart
Nothing says tomorrow is a guarantee
There’s no way of knowing that you’ll be with me
As I walk upon the edge of no escape in a world so flat
And then it hits me like a bolt of faith
I love you, not-nothing else
I want to lock you up inside my heart
I always wanted you
But sometimes it’s hard
What do I do to lock you up inside my heart?
I wanted you from the start
I want to lock you up inside my heart
What do I do to lock you up inside my heart?
I want to lock you up
You might also like
You’re the One

How Can I

You (Ha Ha Ha)

We won’t stay, we run
Love like melting sun
Please don’t leave, don’t run
Won’t you stay in tonight?
Taste my lips, don’t let go
I’m in your hand
I’m in your hand
I’m in your hand
I always wanted you
But sometimes it’s hard
What do I do to lock you up inside my heart?
I wanted you from the start
I want to lock you up inside my heart
What do I do to lock you up inside my heart?
I want to lock you up inside my heart
What do I do to lock up inside my heart?
I want to lock you up
I want to lock you up inside my heart"
7,2348,"Slippin' through tunnels in the sand
I hold your heartbeat in my hand
You are getting away
Again, again, again, again, again
I lose my grip and start to drown
Still see your feet from underground
You are getting away
Again, again, again, again, again
It feels like I'm in a glass box
Invisible cape is on top
Keep on confessing your love for
Some other girl you would rather
I feel like a ghost in a white room
Your eyes keep starin' at me straight through
Only not to be two hearts goin' blind
One, two, three, so I kissed goodbye and left the room
Don't break my heart
This is when I lose my balance
This is when I lose all control
This is when I find the challenge
The challenge I can call my own
It's hard to fight a battle
When all my weapons are so far
Out of reach and balance
And I forget who you are
You might also like
You’re the One (Odd Future’s the Internet Remix)

Lock You Up

Fancy

I think I'm about to fall
I think I'm about to fall
I think I'm about to fall
Deeper and deeper, whoa
Deeper and deeper, whoa
Deeper and deeper, whoa
Deeper and deeper, whoa
Deeper and deeper, whoa
Go fuck yourself!"
8,2990,"Dancing in the darkness
Pink and lilac
Keep the silence
Crystals on the skyline
Cut to midnight
Ultraviolet
Flying through the black night
You’re the angel in the moonlight
Running through the thunder
Undercover
Silver lover
Yeah, now you're thinkin' what have I gotten myself in?
How can I extend this situation?
I can't see how this'll end, while other's contin
You just wanted a friend
But I can make you feel like you'll never need them again
I hope they go with the wind
Way past far
No way anyone could ever tell where we are
Freeze to make you stay
Raise fires to keep them away
Keep a quick pace to make sure
Others must admire from a distance
I could make you wanna love me in an instant
Too nice, nicer than they are
But I learned being too nice won't get you too far
Explore everywhere on you
The journey can't hurt
Dominate every place, that's just how kings work
No commitment, no goal, no model
Wrong role, role models played a role
No shadow, no soul, let's go
You might also like
Spoons

Fancy

Cupid (Twin Version)
FIFTY FIFTY (피프티피프티)
Yeah, I’m dancing in the darkness
Three years before I was feeling so heartless
But your burn shined through
Now I’m drinking love potion when I lay next to you
It’s a criminal feeling
Happiness cries when the tears are dreaming
My body is screaming
I’m staying right here, no, I’ll never be leaving
Dancing in the darkness
Pink and lilac
Keep the silence
Crystals on the skyline
Cut to midnight
Ultraviolet"
1,2032,"Dancing in the darkness
Pink and lilac
Keep the silence
Crystals on the skyline
Cut to midnight
Ultraviolet
Flying through the black night
You’re the angel in the moonlight
Running through the thunder
Undercover
Silver lover
Yeah, now you're thinkin' what have I gotten myself in?
How can I extend this situation?
I can't see how this'll end, while other's contin
You just wanted a friend
But I can make you feel like you'll never need them again
I hope they go with the wind
Way past far
No way anyone could ever tell where we are
Freeze to make you stay
Raise fires to keep them away
Keep a quick pace to make sure
Others must admire from a distance
I could make you wanna love me in an instant
Too nice, nicer than they are
But I learned being too nice won't get you too far
Explore everywhere on you
The journey can't hurt
Dominate every place, that's just how kings work
No commitment, no goal, no model
Wrong role, role models played a role
No shadow, no soul, let's go
You might also like
Spoons

Fancy

Cupid (Twin Version)
FIFTY FIFTY (피프티피프티)
Yeah, I’m dancing in the darkness
Three years before I was feeling so heartless
But your burn shined through
Now I’m drinking love potion when I lay next to you
It’s a criminal feeling
Happiness cries when the tears are dreaming
My body is screaming
I’m staying right here, no, I’ll never be leaving
Dancing in the darkness
Pink and lilac
Keep the silence
Crystals on the skyline
Cut to midnight
Ultraviolet"
3,6978,"Reporter: If you were gonna sing something to a girl to try and seduce her, what would you sing, and will you sing it for us?
Justin Bieber: Seduce her?!
Reporter: Yup!
Justin Bieber: Uhh, I don't know, um... I've never tried to seduce a girl yet...
Under your magic
Under your magic in the night
I twist and turn
But I can never put up a fight
You are like diamonds
You are like diamonds in the night
Ask me a question
You know I'll do anything, I'm hypnotized (dance)
Just stay
Just stay awake
Just lay
Just lay for me
You know I can't dance
You know I can't dance
You know I can't dance, but you want me to
You know I can't dance
You know I can't dance
You know I can't dance but you like what I do
You know I can't dance
You know I can't dance
You know I can't dance, but you want me to
You know I can't dance
You know I can't dance
You know I can't dance, but I'll dance for you
You might also like
Glow

Velvet Dreaming (Luv)

Fancy

Body electric
Lost in our hyper fantasy
I really feel it
I'm moving both my arms, yeah, it's happening
Lost all my feelings
I don't really care who's watchin' me
We're on a level
If they don't like what we do, well, they can just leave
You stay
You stay awake
You lay
You lay for me
You know I can't dance
You know I can't dance
You know I can't dance, but you want me to
You know I can't dance
You know I can't dance
You know I can't dance but you like what I do
You know I can't dance
You know I can't dance
You know I can't dance, but you want me to
You know I can't dance
You know I can't dance
You know I can't dance, but I'll dance for you
Justin (Bieber), Justin (Bieber), Justin (Bieber)
Justin (Bieber), Justin (Bieber), Justin (Bieber)
Justin (Bieber), Justin (Bieber), Justin (Bieber)
Justin (Bieber), Justin (Bieber), just in place"
4,0680,"I'm in love with you
Yeah, I got the time
Yeah, I got the time
Yeah, I got the time to spend on loving, spend on loving you
To spend on loving you, to spend on loving you
I got the time to be your throwaway
If I get to hang with you every day
Sitting on the ground, drinking champagne
Flying 'round the world, private plane
You're like the best kind of Novocain
Super ease, take the pain away
Nice kinda numb, yeah, it's a-okay
Back of the car, I will stay smoking
Stay hot like fire
You are my one desire
But you will never tire
Because you always keep on taking me higher
Super sweet, like a French bon-bon
Super story, how you were gone, gone
You got my heart dressed up like a debutante
You're the apple of my eye and the only one
You might also like
Dance 4 U

Moments in Love

Fancy

Yeah, I got the time
Yeah, I got the time
Yeah, I got the time to spend on loving, spend on loving you
To spend on loving you, to spend on loving you
Yeah, I got the time
Yeah, I got the time
Yeah, I got the time to spend on loving, spend on loving you
To spend on loving you, to spend on loving you
I like it when you kiss the back of my neck
I like it that you show me super respect
You're not the kind of guy I think I'll regret
You're not the kind of guy I'm gonna forget
Sparkle in your heart always glows in the dark
Rainbows in the sky when we walk through the park
Hand in my hand, toes in the sand
Super ultra love for my man
Yeah, I got the time
Yeah, I got the time
Yeah, I got the time to spend on loving, spend on loving you
To spend on loving you, to spend on loving you
To spend on loving you, to spend on loving you"
5,8204,"We came a long, long way
Through the wind and rain
I nearly sank my heart in the empty glass
Spent my time alone, but you're at the phone
And when I fall apart, I'll swim with the sharks
You'll always be right there
And I will always love you
You changed my vision when you said to me...
(Uh...)
You, you are my shining star
Don't lose your glow
Don't fade away into the darkness
You, you are my shining star
Don't lose your glow
Don't fade away into the darkness
In the box of doom, in a hotel room
You're across the sea, but you're near to me
You know you gave me hope, and now I stay afloat
I used to sleep to scream
And now I sleep to dream of you
You might also like
Heatwave

Dance 4 U

Fancy

You'll always be right there
And I will always love you
You changed my vision when you said to me...
(Uh...)
You, you are my shining star
Don't lose your glow
Don't fade away into the darkness
You, you are my shining star
Don't lose your glow
Don't fade away into the darkness
You, you are my shining star
Don't lose your glow
Don't fade away into the darkness
You, you are my shining star
Don't lose your glow
Don't fade away into the darkness"
7,1501,"Cold nites and harder days
Better lie down and lay away
Have a heart facing foreign places
Tired of seeing love, tired of waiting
Ooh, But I keep on doing it
I ain't gonna stop until we're through with this
Ooh, But I keep on doing it
I ain't gonna stop until we're through with this
Hey, yeah, ohh
Hope you know I miss you
Know that I want to kiss you
You said that I was the bestest bitch that ever stuck with you
After all the shit we've been through
How come you cannot see through?
We're stuck on automatic
Never there when I really need you
This shit for real, this shit is danger
You come around my house
And you act like a motherfucking total stranger
Anytime that I see you, baby
Anytime that I see you, lately
Hoping I'm safe for a while
Safe for a while
You might also like
Forgiveness

Heatwave

Fancy

Ooh, but I keep on doing it
I ain't gonna stop until we’re through with this
Ooh, but I keep on doing it
I ain't gonna stop until we’re through with this
Now what would I change to get you back to my arms again?
Instead that my life made you in love with a different man
If in my time you would pass my life
Could I still take you as my love
Tell me what I wanna do, tell what I gotta do better
Hey, yeah, ohh
Hey
Ooh, but I keep on doing it
I ain't gonna stop until we’re through with this
Ooh, but I keep on doing it
I ain't gonna stop until we’re through with this
Ooh, but I keep on doing it
I ain't gonna stop until we’re through with this
Ooh, but I keep on doing it
I ain't gonna stop until we’re through with this
I can't see from how hard I'll be in where I'll stay
I pray for myself again"
8,5423,"I can change, I can change
I will try every day
Do my best, are you impressed?
Or are you not down with forgiveness?
Are you not down with forgiveness?
Are you not down with forgiveness?
Are you not down with what I've done?
Fucked this up in front of everyone
I can change, I can change
I will try every day
Do my best, are you impressed?
Or are you not down with forgiveness?
Are you not down with forgiveness?
Are you not down with forgiveness?
Are you not down with what I've done?
I'm so cold
I'm the bad bitch, yo
Heart got froze
Don't trust those bros
Feel my love up high
I'll protect the prize
No love inside my eyes
Don't trust those guys
You might also like
Cold Nites (Remix)

Fancy

Cupid (Twin Version)
FIFTY FIFTY (피프티피프티)
I can change, I can change
I will try every day
Do my best, are you impressed?
Or are you not down with forgiveness?
Are you not down with forgiveness?
Are you not down with forgiveness?
Are you not down with what I've done?
Fucked this up in front of everyone
I can change, I can change
I will try every day
Do my best, are you impressed?
Or are you not down with forgiveness?
Are you not down with forgiveness?
Are you not down with forgiveness?
Are you not down with what I've done?
I can change, I can change
I will try every day
Do my best, are you impressed?
Or are you not down with forgiveness?
Are you not down with forgiveness?
Are you not down with forgiveness?
Are you not down with what I've done?
Sorry that my body like ice
Super hot supply, never gonna faze me
Sorry that my ice is so low
Queen bitch pro, vision so hazy
You keep on trying to break me down
But my wall stays high
It's protection like crazy
Sorry that I love you so
Gonna try to change but it's so hard, baby
And it's so hard, baby"
1,2418,"Let my car run out
Cars burn out
I won't scream or shout
Lost my breath now
Let's die together, no one lives forever
(Cars burn out)
Let's die together, no one lives forever
Falling through the clouds
No one lives forever
Falling through the clouds
('Cause I feel like I'm in heaven, dancing)
No one lives forever
When you go, please don't leave your love in the sun
My heart will melt away
In the night, with your twisted tongue
When you drop the bomb, I'm blown away
'Cause I refuse to hide in the page of your story
I come out the box, I won't say I'm sorry
We in the nuclear season
In the shelter I'll survive this though
We in the nuclear season
Summer lovin' in the backseat gone
You might also like
You (Ha Ha Ha)

What I Like

Take My Hand

Now I'm facing this on my own
'Cause you taste the blast and it shook your bones
I'm a warrior all alone
In the field of lies, I won't go home
‘Cause I didn’t burn my skin in the blaze of glory
I come out your hands, I won’t say I’m sorry
We in the nuclear season
In the shelter I'll survive this though
We in the nuclear season
Summer lovin' in the backseat gone
We survived nuclear seasons
We survived nuclear seasons
I can feel it, I can feel the fear
I can feel it, inside of my soul
Inside of the soul
We in the nuclear season
In the shelter I'll survive this though
We in the nuclear season
Summer lovin' in the backseat gone
We survived nuclear seasons
(Good times, dark nights)
We survived nuclear seasons
(Good times, dark nights)
We survived nuclear seasons
(Good times, dark nights)
We survived nuclear seasons
(Good times, dark nights)"
2,1456,"Yeah, we got a situation
Lock down, and I'm trapped in the basement
I'm a victim of replacement
'Cause you acting so leather
Trying to put across your statement, oh
'Cause I know you struggle
Choke when you see love grow
You, you lied
Ha ha ha ha, I was right
All along, good job
Good job, you fucked it up
'Cause we used to be the cool kids
You were old school, I was on the new shit
We were addicted to the blue print
But we threw it in the flame
And now we're never gonna trace it, oh
'Cause we used to be the cool kids
You were old school, I was on the new shit
We were addicted to the blue print
But we threw it in the flame
And now we're never gonna trace it, oh
You might also like
Nuclear Seasons

Stay Away

Set Me Free (Feel My Pain)

'Cause I know you struggle
Choke when you see love grow
You, you lied
Ha-ha-ha-ha, I was right
All along, good job
Good job, you fucked it up
And now you're walking on your own
Rain falls down, I'm not answering my phone
I got to phase you out my zone
Hope you realize now that I am never coming home
You were meant to be alone
You, you lied
Ha-ha-ha-ha, I was right
All along, good job
Good job, you fucked it up
It's a front, good job
Good job, you fucked it up
(Ha-ha-ha-ha-ha-ha)"
3,0701,"Why you gotta go to sleep?
Don't go to sleep
Don't go to sleep
Let's go out
Get blown away, lost in the dark
Get real high and never come down
Why you gotta go to sleep?
Don't go to sleep
Don't go to sleep
Let's go out
Get blown away, lost in the dark
Get real high and never come down
C'mon baby, put your hands on my hips
Then swing your lips to my lips
Wanna taste your heart, don't interfere
Into the night, we'll disappear
Just take my hand
Yeah, take my hand
Yeah, take my hand
(Let's dance!)
Won't you please just take my hand?
You might also like
Set Me Free (Feel My Pain)

Stay Away

You’re the One

Can you feel the neon lights?
It's like the milky way
I swallowed something stupid, it's making me stay awake
And now I'm on the cloud
I'm talking extra loud
I keep on dancing
Gonna lose my body in the crowd
Why you gotta go to sleep?
Don't go to sleep
Don't go to sleep
Let's go out
Get blown away, lost in the dark
Get real high and never come down
Just take my hand
Yeah, take my hand
Yeah, take my hand
(Let's dance!)
Won't you please just take my hand?
C'mon baby, put your hands on my hips
Then swing your lips to my lips
Wanna taste your heart, don't interfere
Into the night, we'll disappear
C'mon baby, put your hands on my hips
Then swing your lips to my lips
Wanna taste your heart, don't interfere
Into the night, we'll disappear
Just take my hand
Yeah, take my hand
Yeah, take my hand
(Let's dance!)
Won't you please just take my hand?
(Let's dance!)
Won't you please just take my hand?
(Let's dance!)
Won't you please just take my hand?
(I'm in your hand)
(I'm in your hand)"
4,4522,"You choke my throat with words of wonder
You make it hard to breathe
Your love's so cold, just like an arrow
Pierced through my skin, I bleed
I knew you were no angel
But God, what did I do?
Do you remember what I said that first time we met?
Stay away, why couldn't you stay away?
I never needed anyone, but now that you are gone
Stay away, won't you just stay away?
Taking all my light and blocking out my vision
Bad little girl you have trapped in the prison
On my hands, on my knees, pulled on the chains
Licking up the blood, yeah, I made this decision
You took my light
Trapped in the prison
You threw away the key
You are the curse, I am the captive
Walking on hands and knees
You might also like
Nuclear Seasons

Take My Hand

Set Me Free (Feel My Pain)

Never learn, never learn
Never learn, never learn
You were no angel
But God, you're just electric blue
Do you remember what I said that first time we met?
Stay away, why couldn't you stay away?
I never needed anyone, but now that you are gone
Stay away, won't you just stay away?
Stay away, stay away, stay away, stay away, stay away
Stay away, stay away, stay away, stay away, stay away
Stay away, stay away, stay away, stay away, stay away
Stay away, stay away, stay away, stay away, stay away
I climbed a wall to touch your shadow
I hear you call for me
But you're not there, you're just an echo
Why did you fall for me?
Do you remember what I said that first time we met?
Stay away, why couldn't you stay away?
I never needed anyone, but now that you are gone
Stay away, won't you just stay away?
Taking all my light and blocking out my vision
Bad little girl you have trapped in the prison
Won't you just stay away?"
5,7834,"I am just crushed in the velvet
My heart is locked in a box
I am still sinking in black skylines
But now I want it to stop
I’m sailing high but I can't see
I’ve been pushed around, up and down in a cloud
And I can't breathe
I’m falling down, down to my knees
You've gotta let me go, you've gotta help me out
You've gotta set me free
You've gotta set me free
Yeah, you devoured my soul
‘Cause I can taste your lips on my lips
Your kisses make me out of control
And I can feel my blood
It’s crawling through my veins
And you close your eyes and you twist your smile
‘Cause you can feel my pain
You can feel my pain
You can feel my pain
You might also like
So Far Away

You’re the One

What I Like

I have been dancing with shadows
I have been calling your name (calling your name)
I feel the skin dripping from my bones
Your touch, it makes me insane
I’m sailing high but I can't see
I’ve been pushed around, up and down in a cloud
And I can't breathe
I’m falling down, down to my knees
You've gotta let me go, you've gotta help me out
You've gotta set me free
You've gotta set me free
Yeah, you devoured my soul
‘Cause I can taste your lips on my lips
Your kisses make me out of control
And I can feel my blood
It’s crawling through my veins
And you close your eyes and you twist your smile
‘Cause you can feel my pain
I can’t do this no more
You’re tearing me apart
So give me one last kiss
And then I have to let you know
You've gotta set me free
Yeah, you devoured my soul
‘Cause I can taste your lips on my lips
Your kisses make me out of control
And I can feel my blood
It’s crawling through my veins
And you close your eyes and you twist your smile
‘Cause you can feel my pain
You can feel my pain
You can feel my pain
You can feel my pain
You can feel my pain"
6,7486,"Wish you could see me when I’m lying in bed
My eyes are blinded by your stars
My blood is blushing so red
(Oh my God)
I can see you in my head again
Arrows of roses shoot me dead again
Wish you could see me when I’m lying in bed
My eyes are blinded by your stars
My blood is blushing so red
(Oh my God)
I can see you in my head again
Arrows of roses shoot me dead again
(Let my car run out) Let my car run out
(I won't scream or shout) I won't scream or shout
(Let's die together, no one lives forever)
'Cause I feel like I’m in heaven, dancing with an angel
(Let my car run out, I won't scream or shout)
Cars burn out, lost my breath now
(Let's die together, no one lives forever)
'Cause I feel like I am falling through the clouds
(Let my car run out, I won't scream or shout)
Hope we’re on the same wavelength
Hope you don’t think that I’m crazy
(Let's die together, no one lives forever)
Beaches and oceans for my baby
Hurry up, and come and save me
(Let my car run out, I won't scream or shout)
I can’t quite hear what you’re saying
Because my body started shaking
(Let's die together, no one lives forever)
Beaches and oceans, earth is quaking
That’s my heart that you were breaking
You might also like
What I Like

Stay Away

Set Me Free (Feel My Pain)

Wish you could see me when I’m lying in bed
My eyes are blinded by your stars
My blood is blushing so red
(Oh my God)
I can see you in my head again
Arrows of roses shoot me dead again
Wish you could see me when I’m lying in bed
My eyes are blinded by your stars
My blood is blushing so red
(Oh my God)
I can see you in my head again
Arrows of roses shoot me dead again
(Let my car run out) Let my car run out
(I won't scream or shout) I won't scream or shout
(Let's die together, no one lives forever)
'Cause I feel like I’m in heaven, dancing with an angel
(Let my car run out, I won't scream or shout)
Cars burn out, lost my breath now
(Let's die together, no one lives forever)
'Cause I feel like I am falling through the clouds
Hope we’re on the same wavelength
Hope you don’t think that I’m crazy
Beaches and oceans for my baby
Hurry up, and come and save me
I can’t quite hear what you’re saying
Because my body started shaking
Beaches and oceans, earth is quaking
That’s my heart that you were breaking
(No one lives forever-ever-ever-ever-ever-ever)
(No one lives forever-ever-ever-ever-ever-ever)
(No one lives forever-ever-ever-ever-ever-ever)
(No one lives forever-ever-ever-ever-ever-ever)
(No one lives forever-ever-ever-ever-ever-ever)"
7,1346,"Gimme the poison
I love the poison
Hooked on the poison
I can't believe all those things that you said
You broke my heart and you fucked with my head, again
So I run... (so long ago, and so far away)
I can't believe all those things that you said
You are the poison, I drank the poison
Get out my head, get out my bed
I don't believe those three words that you said
Pocket of lies, crystal blue eyes
Hit the ground hard when I dropped from the skies
You're coming up when I'm going down
Never in sync, so we just sank and drowned
Press restart and reboot my heart
But I'm not a robot, so I fell apart
Before the moment we met, we were chatting on the internet
Getting kinda close through the posts that we were looking at
I was pretty confident, you were pretty into that
I linked you to my music just to see if you'd be into it
So fuck the prologue, read the internet blogs
Gonna love this style and I came from the clubs
I wasn't looking for a thug, I was looking for a bad boy
Bad boy, motherfucker, destroy
You might also like
Nuclear Seasons

Set Me Free (Feel My Pain)

Lock You Up

I can't believe all those things that you said
You broke my heart and you fucked with my head, again
So I run... (so long ago, and so far away)
I can't believe all those things that you said
You broke my heart and you fucked with my head, again
So I run... (so long ago, and so far away)
I can't believe all those things that you said
You are the poison, I drank the poison
I want the poison, I need the poison
Gimme the poison, I love the poison
Hooked on the poison
(So far away...
So long ago, and so far away
So far away...
So long ago, and so far away)
Now I know for sure that we've got to end this
You don't get no last kiss
'Cause you're so damn crazy, and I'm so damn helpless
So don't text my number
And don't call my mother
I can't see your face now
'Cause this is over
I can't believe all those things that you said
You broke my heart and you fucked with my head, again
So I run... (so long ago, and so far away)
I can't believe all those things that you said
You are the poison, I drank the poison
(So long ago, and so far away)"
8,6416,"Baby, what hurts the most
Is when you become so cold
You're starting to hurt my heart
You left me here in the dark
Now I got to make a change
I don't want to see your face
I'm starting to hurt your heart
Hope you fall apart
Uh, uh, Brooke Candy
We were on some Bonnie and Clyde shit
Kept the blunts rolled, always let you take the first hit
When the feds caught us, I said I would take the rap
'Cause I knew it ain't easy livin' life in the trap
I was the Queen B and you were like my Jay Z
Only one who held me down when I was fuckin' crazy
Ivana and Trump, shit, we coulda ran the world
You were my Chris Brown, I was your only girl
Let you put your feet up while I was cookin' you breakfast
Thought I found my ride or die, but now I just regret shit
Log into your email 'cause I knew that shit was wrong
Pullin' up a private photo of a bitch showin' her thong
Then I look a lil' closer, it's my home girl Lisa
Time to terminate shit, hasta la vista
Married to the mob, so I put a hit on it
Handed you my heart, then you took a shit on it
That's fucked up
You might also like
Stay Away

How Can I

Lock You Up

Baby, what hurts the most
Is when you become so cold
You're starting to hurt my heart
You left me here in the dark
Now I got to make a change
I don't want to see your face
I'm starting to hurt your heart
Hope you fall apart
Now I'ma fuck your shit up
Set fire to your pick-up
And drive it super sonic
Crash and burn it with my sister
No, I don't need a mister
Cancel the babysitter
I'm never going down that road
It's easy to resist ya
You broke my heart
And I'm never gon' forget this
You broke my heart
And now I'm comin' back to get ya, don't you know?
Baby, what hurts the most
Is when you become so cold
You're starting to hurt my heart
You left me here in the dark
Now I got to make a change
I don't want to see your face
I'm starting to hurt your heart
Hope you fall apart
Baby, what hurts the most
Is when you become so cold
You're starting to hurt my heart
You left me here in the dark
Now I got to make a change
I don't want to see your face
I'm starting to hurt your heart
Hope you fall apart"
9,9054,"You call me up at six
Come 'round, undressing in my house again
Your t-shirt’s on the floor
Yeah, we're undressing in my house again
You know just what I like
You call me up at six
Come 'round, undressing in my house again
Your t-shirt’s on the floor
Yeah, we're undressing in my house again
You know just what I like
Used to come around, you'd be knockin' on my front door
Playing board-games, horror films with the super gore
Thought that you were cute from the start
Yeah, I’m pretty sure
You were like the medicine, the medicine, I wanted more
All along, I wanted someone to vibe with
Found the guy I want the rest of my life with
Ha, we on some husband and wife shit
I don’t really care, 'cause I know that I like it
And when the clouds part open
When the last word is spoken
When the last heart’s been broken
We’ll be sitting on your bedroom floor still smoking
And when the clouds part open
When the last word is spoken
When the last heart’s been broken
We’ll be sitting on your bedroom floor still smoking
Smoking, smoking
You might also like
Lock You Up

Take My Hand

Grins

You call me up at six
Come 'round, undressing in my house again
Your t-shirt’s on the floor
Yeah, we're undressing in my house again
You know just what I like
You call me up at six
Come 'round, undressing in my house again
Your t-shirt’s on the floor
Yeah, we're undressing in my house again
You know just what I like
Oh, now I got a plan
I hope you gonna be my man
I can see us cushy in the house right by the ocean sand
And when I wanna cry, I hope you're gonna hold my hand
And when the shit goes down, I hope you're gonna make a stand
This shit is super wild
This shit is super cool
This shit is kinda gangsta'
I think I’m into you
This shit is super wild
This shit is super cool
This shit is kinda gangsta'
I think I’m into you
You call me up at six
Come 'round, undressing in my house again
Your t-shirt’s on the floor
Yeah, we're undressing in my house again
You know just what I like
You call me up at six
Come 'round, undressing in my house again
Your t-shirt’s on the floor
Yeah, we're undressing in my house again
You know just what I like"
10,2470,"Purple and scarred
It's the color that will be on my heart, my heart, my heart
When you are done and dusted with me
I fall apart when I wash your touches off of my skin, my skin, my skin
I know you're tired of sticking to me
Why am I deep in black roses?
Dateless doses
I'm falling victim to black roses
You've got a diamond desire
Gonna step into the blue fire
Touching your lips with my skin
I'm on another level
I can't let go
Sat in the garden of sin, like an angel with the dirty wings
Tainted by tastes of the soul, this is another level
I need to know
Why am I deep in black roses?
Dateless doses
I'm falling victim to black roses
Black roses, black roses
I'm falling victim to black roses
You might also like
Set Me Free (Feel My Pain)

You’re the One

How Can I

You're turning me off
Out of phase and into focus you keep turning me on
You're turning me on, you're turning me off
Black roses, going down down down
Black roses, going down down down
Black roses, going down down down
Black roses, black roses
Deep in black roses
Dateless doses
I'm falling victim to black roses
Black roses, black roses
I'm falling victim to black roses
Black roses, black roses
I'm falling victim to black roses
Black roses, black roses, black roses"
1,6149,"You said you wanna bang
Well, fuck you, sucker!
Head bang (bang), pink rocks (rocks)
Gold fangs (flexing), shit hot
Brick walls, don't stop
My hands, fresh cuts (sick)
Oh dear God, do you get me now, do you get me now, oh, you do?
Wow, you're awesome
Oh dear God, I'm a killer now, I'm a killer now, so are you
Wow you're awesome
[Chorus] (2x)
Invites, non-stop
Bleached out (fuck it), blue yachts
You joined my club
Luke loves (love it), your stuff (sick)
Oh dear God, do you get me now, do you get me now, oh, you do?
Wow you're awesome
Oh dear God, I'm a killer now, I'm a killer now (killer now, killer now, killer now)
You might also like
Need Ur Luv

Black Roses

Roll with Me

[Chorus] (x2)
Sitting on a plastic speedboat
In the ultraviolet ocean
Playing cool songs
Trying to show off
Wow you're awesome
Wow you're awesome
Bang, bang
Bang, bang
Bang, bang
I'm a killer
Fuck you! Sucker!
Sucker!
Sucker!
Sucker!
Fuck you!"
2,1337,"Electric lights
Blow my mind
I feel alright
Never stop, it's how we ride
Coming up until we die
You catch my eye
Bitch, you wanna fly?
I'm so alive
Never stop, it's how we ride
Coming up until we die
I don't wanna go to school
I just wanna break the rules
Boys and girls across the world
Putting on our dancing shoes
Going to the discotheque
Getting high and getting wrecked
I don't wanna go to school
I just wanna break the rules
I don't wanna go to school
I just wanna break the rules
Boys and girls across the world
Putting on our dancing shoes
Going to the discotheque
Getting high and getting wrecked
I don't wanna go to school
I just wanna break the rules
You might also like
Mother
Meghan Trainor
Famous

Happy Pills
Weathers
I'm such a star
Queen Boulevard
Blaze through the dark
Never stop, it's how we ride
Coming up until we die
I don't wanna go to school
I just wanna break the rules
Boys and girls across the world
Putting on our dancing shoes
Going to the discotheque
Getting high and getting wrecked
I don't wanna go to school
I just wanna break the rules
Get my guitar
Sunglasses on
So light it up
Never stop, it's how we ride
Coming up until we die
I don't wanna go to school
I just wanna break the rules
Boys and girls across the world
Putting on our dancing shoes
Going to the discotheque
Getting high and getting wrecked
I don't wanna go to school
I just wanna break the rules
Na na na na na na na"
3,6000,"[Verse 1]:
Ride away from Holloway
I said ""Mum, this isn't a holiday
Listen up, I ain't coming back
Till I can fill the shack up with all gold plaques.""
Soon come, home run, whack!
Knock it out the park with a baseball bat
[Pre-Chorus]:
When I'm driving on the wrong side of the road
I feel like JFK you know
[Chorus]:
I never thought I'd be living in the USA
Doing things the American way, yay yay
I never thought I'd be living in the USA
Living the dream like a London Queen (oi!)
[Verse 2]:
Now I live in Hollywood
I can't stop even though I know I should
It feels so good, oh yeah, oh oh
Chorus (2x)
You might also like
Breaking Up

Break the Rules

Fancy

[Post-Chorus]:
Living the dream like a London Queen (oi!)
Living the dream like a London Queen (oi!)
Living the dream like a London Queen (oi!)
Living the dream like a London Queen
Oi, oi, oi (whack)
Oi, oi, oi (whack)
[Chorus](2x) + [Post-Chorus]"
4,0443,"You said you love me (I said what)
You said you love me (okay let's rock)
You said you love me (I said what)
You said you love me (okay let's rock)
You had an ugly tattoo, and fucking cheap perfume
You couldn't dance, barely moved, I didn't know what to do
You had a friend in a band, but they're not that cool
You said you love me (okay let's rock)
Everything was wrong with you
So breaking up was easy to do
Hated your friends and your family too
So breaking up was easy to do
Breaking up! (Breaking up)
Breaking up! (Breaking up)
You tried to pull this apart and make a brand new start
You tried to drive me to France, we didn't get very far
You said forever but baby I'm not so sure
You said you loved me (okay, let's rock)
You might also like
Gold Coins

London Queen

Fancy

[Hook]"
